Time elapsed in seconds,Controlled Lighting Units Power Usage (moving),All Lighting Units Activated Usage,Controlled Lighting Units Power Usage (Standing still)
373.0954858,85.60635421,895.5108238,71.07199563
373.1965911,85.62831313,895.7534765,71.09343894
373.3030321,85.64773546,896.0089349,71.11296919
373.4315139,85.67219381,896.3148907,71.13401458
373.5413228,85.69627765,896.5808326,71.15620564
373.6549137,85.72369529,896.8534507,71.17669841
373.7650048,85.74955771,897.1176694,71.19812364
373.8727515,85.77378552,897.3762614,71.21975887
373.9796993,85.79950887,897.6329362,71.2463977
374.0862729,85.8262385,897.8887128,71.26957246
374.1941774,85.85429216,898.1476836,71.29038649
374.3188976,85.88465917,898.4470121,71.31479992
374.4354304,85.91210991,898.7266908,71.33522189
374.5521278,85.9404547,899.0067646,71.35558869
374.6481564,85.96382166,899.2372332,71.3779707
374.7557136,85.98737551,899.4953705,71.39652395
374.8684779,86.01289588,899.7660048,71.42097912
374.9784903,86.03689826,900.0300346,71.44127348
375.1000621,86.0571367,900.3218069,71.46549306
375.220839,86.07834855,900.6116714,71.48595213
375.342368,86.10298342,900.903341,71.50635776
375.4651608,86.13023514,901.1956452,71.52841775
375.5689791,86.15388753,901.4472077,71.54873131
375.6846305,86.1787997,901.724771,71.57068651
375.799495,86.20568487,902.0004458,71.58961493
375.8973009,86.23025599,902.23518,71.61043716
376.0090504,86.25646504,902.5033788,71.63116906
376.1215555,86.28266613,902.773391,71.65689681
376.2314345,86.30926469,903.0371006,71.67811669
376.3561059,86.33923712,903.3339074,71.69891958
376.4809972,86.36796364,903.6360511,71.72161538
376.594787,86.39201125,903.9067193,71.74145595
376.7074962,86.41531529,904.1796487,71.76083849
376.8083294,86.43638724,904.4216484,71.78157774
376.9174125,86.45971627,904.6834478,71.80440028
377.0279197,86.48143404,904.9486651,71.82465031
377.1317871,86.50098243,905.1979469,71.8490546
377.2620861,86.52530117,905.5106645,71.86981709
377.3793095,86.5487979,905.7920006,71.89124163
377.4918502,86.57239266,906.0620983,71.9156065
377.6057183,86.59653989,906.3353818,71.9403921
377.7204199,86.61881179,906.6106656,71.96120981
377.8185559,86.63897677,906.846192,71.98240603
377.9329996,86.6632965,907.1208569,72.00414156
378.0415956,86.68625323,907.3814873,72.02606447
378.1553085,86.70849187,907.6543982,72.04524233
378.2669455,86.73057824,907.922327,72.06598766
378.3650152,86.75072805,908.1576943,72.08686005
378.4858412,86.77637814,908.4476767,72.11191766
378.6022222,86.80366001,908.7245894,72.13257332
378.7190445,86.83475917,909.0073646,72.15378524
378.8188912,86.86121758,909.2469967,72.17455084
378.9326258,86.89422588,909.5199598,72.19390474
379.0672962,86.93738768,909.8407783,72.21602655
379.1798519,86.97015095,910.1133024,72.23809596
379.2917019,87.00309787,910.3817424,72.25981708
379.4014431,87.03739366,910.6451213,72.28041348
379.5122518,87.0743073,910.9110622,72.30163794
379.625602,87.11358908,911.1807019,72.32661512
379.731783,87.14959925,911.437937,72.35103007
379.8386171,87.18536097,911.6943389,72.37106913
379.9445,87.22162935,911.9484578,72.3965486
380.0541053,87.25920599,912.2115106,72.4171727
380.1649802,87.2953779,912.4776103,72.43872529
380.2774961,87.32701349,912.7476485,72.45935873
380.3851748,87.35758445,913.0060774,72.47910477
380.4950353,87.38730968,913.2697426,72.50068119
380.6197975,87.41855808,913.5691718,72.51953603
380.7246284,87.44129738,913.820766,72.54021604
380.8363356,87.46421713,914.0888633,72.56073585
380.9550464,87.49148636,914.3737692,72.58268155
381.0552813,87.51677013,914.614333,72.60500908
381.1747962,87.54923392,914.9011687,72.626919
381.2802626,87.57260867,915.1542881,72.64807648
381.3863897,87.59742366,915.4089931,72.66794694
381.5087989,87.62796558,915.7027752,72.68954259
381.633576,87.66035047,916.0022402,72.71033424
381.7433857,87.68820577,916.2657835,72.73132442
381.8553862,87.71442551,916.5345847,72.75062998
381.9600444,87.73960439,916.7857644,72.77107667
382.0817133,87.76898159,917.0777698,72.79655293
382.1799862,87.79040902,917.3136247,72.8171585
382.2960327,87.81436462,917.5921363,72.83758795
382.4078284,87.83695656,917.860446,72.85839647
